order_id,customer_id,order_date,product_id,quantity,unit_price,total_amount,order_status,payment_date
1,2529,2024-03-06,324,4,231.76,927.04,Completed,2024-03-10
2,291,2024-12-30,239,9,115.52,1039.68,Cancelled,
3,472,2024-09-10,492,9,114.86,1033.74,Completed,2024-09-17
4,8533,2024-01-16,390,10,294.07,2940.70,Cancelled,
5,1692,2024-09-14,329,5,176.61,883.05,Completed,2024-09-22
6,3352,2024-02-01,211,8,446.39,3571.12,Completed,2024-02-08
7,4319,2024-06-23,289,1,472.19,472.19,Completed,2024-07-01
8,6851,2023-12-12,231,6,38.85,233.10,Cancelled,
9,8058,2023-12-29,458,2,46.58,93.16,Completed,2024-01-04
10,745,2023-08-01,180,10,398.82,3988.20,Completed,2023-08-05
11,4081,2024-11-02,475,2,254.37,508.74,Cancelled,
12,7195,2023-02-03,108,10,466.34,4663.40,Pending,
13,2207,2024-03-14,179,9,418.27,3764.43,Completed,2024-03-19
14,3507,2023-09-05,123,8,353.24,2825.92,Completed,2023-09-05
15,3280,2024-05-07,51,7,250.09,1750.63,Cancelled,
16,1774,2024-01-16,304,3,420.63,1261.89,Pending,
17,4642,2023-04-16,281,8,338.28,2706.24,Pending,
18,2353,2023-10-25,135,1,73.56,73.56,Completed,2023-10-30
19,5266,2024-08-27,13,1,498.41,498.41,Completed,2024-08-27
20,8318,2024-07-17,382,1,334.57,334.57,Cancelled,
21,3423,2023-08-31,291,8,203.72,1629.76,Completed,2023-09-08
22,8362,2024-02-06,245,3,158.38,475.14,Pending,
23,3518,2023-09-12,7,4,400.18,1600.72,Completed,2023-09-20
24,3603,2023-03-23,396,1,18.61,18.61,Cancelled,
25,4771,2024-09-25,115,6,82.91,497.46,Completed,2024-10-09
26,3706,2023-10-12,10,8,347.36,2778.88,Cancelled,
27,1743,2024-02-27,225,10,285.36,2853.60,Cancelled,
28,5149,2024-06-08,139,7,378.52,2649.64,Pending,
29,8142,2024-09-12,355,4,182.82,731.28,Cancelled,
30,6190,2023-12-02,81,3,171.73,515.19,Completed,2023-12-12
31,6627,2023-02-08,29,1,87.14,87.14,Pending,
32,2125,2024-04-24,115,5,24.28,121.40,Completed,2024-05-01
33,1673,2024-06-15,95,6,44.01,264.06,Completed,2024-06-24
34,713,2024-10-06,423,5,55.63,278.15,Cancelled,
35,2721,2023-12-11,396,9,441.87,3976.83,Pending,
36,1138,2024-07-09,212,7,218.52,1529.64,Cancelled,
37,1881,2024-05-14,436,3,112.67,338.01,Pending,
38,8645,2024-10-12,284,5,386.81,1934.05,Completed,2024-10-21
39,552,2024-03-02,299,9,193.90,1745.10,Pending,
40,1359,2023-11-27,168,3,239.45,718.35,Cancelled,
41,9047,2023-01-16,415,5,154.86,774.30,Pending,
42,2372,2023-09-15,82,5,348.57,1742.85,Pending,
43,8802,2023-09-08,279,7,99.74,698.18,Pending,
44,7567,2023-02-12,121,8,43.02,344.16,Completed,2023-02-15
45,1208,2024-12-13,429,2,457.13,914.26,Pending,
46,2499,2023-09-27,195,7,317.49,2222.43,Pending,
47,1992,2023-01-07,310,4,336.42,1345.68,Completed,2023-01-13
48,1398,2024-05-28,13,5,229.83,1149.15,Pending,
49,9314,2024-09-22,427,2,416.26,832.52,Cancelled,
50,2052,2024-11-04,376,6,424.26,2545.56,Completed,2024-11-14
51,9829,2024-07-27,74,5,364.51,1822.55,Completed,2024-08-04
52,3466,2023-09-26,149,2,484.57,969.14,Pending,
53,1287,2024-06-12,144,2,103.01,206.02,Pending,
54,1699,2023-01-10,57,9,318.58,2867.22,Completed,2023-01-15
55,1408,2023-04-29,358,4,82.50,330.00,Cancelled,
56,7294,2023-11-16,448,10,335.92,3359.20,Completed,2023-11-23
57,632,2023-10-09,258,6,209.96,1259.76,Cancelled,
58,783,2024-11-07,414,7,229.35,1605.45,Completed,2024-11-20
59,8253,2023-07-22,235,9,110.28,992.52,Pending,
60,1714,2023-10-06,135,6,382.65,2295.90,Completed,2023-10-11
61,7768,2024-04-28,65,3,231.57,694.71,Cancelled,
62,9835,2023-01-28,138,1,230.22,230.22,Completed,2023-01-31
63,3522,2024-10-04,440,8,136.43,1091.44,Cancelled,
64,9523,2023-08-24,315,9,227.64,2048.76,Cancelled,
65,4048,2024-09-21,312,2,355.47,710.94,Completed,2024-09-25
66,1458,2023-01-05,96,7,481.92,3373.44,Pending,
67,6317,2023-12-26,9,4,88.08,352.32,Completed,2023-12-29
68,1071,2024-02-11,360,9,27.51,247.59,Completed,2024-02-14
69,1436,2024-09-09,351,1,45.20,45.20,Cancelled,
70,6657,2023-06-19,330,6,151.18,907.08,Pending,
71,5280,2023-01-22,116,7,23.54,164.78,Completed,2023-01-22
