product_id,product_name,category,price,cost,stock_quantity,reorder_level
1,Sharable bifurcated algorithm,Books,321.52,99.67,125,38
2,User-centric even-keeled encryption,Clothing,74.07,25.26,302,64
3,Face-to-face client-driven support,Sports,20.73,7.00,258,87
4,Customer-focused systematic support,Toys,18.14,6.88,112,67
5,Quality-focused background parallelism,Electronics,296.69,185.07,388,30
6,Optimized 5thgeneration algorithm,Home,350.58,152.89,110,53
7,Cross-group didactic emulation,Beauty,55.59,25.13,433,54
8,Profit-focused real-time algorithm,Automotive,303.84,189.25,274,25
9,Realigned dedicated structure,Books,486.69,219.70,424,90
10,Streamlined tangible moratorium,Sports,311.17,200.61,360,18
11,Operative directional knowledge user,Books,27.68,10.83,40,39
12,Reverse-engineered even-keeled workforce,Automotive,433.91,196.15,325,56
13,Adaptive well-modulated workforce,Books,85.51,37.80,359,97
14,Diverse tangible interface,Home,325.78,177.11,273,41
15,Mandatory even-keeled collaboration,Sports,85.88,38.80,350,51
16,Extended well-modulated Graphical User Interface,Sports,422.21,257.72,420,14
17,Customer-focused background implementation,Clothing,403.50,185.80,108,82
18,Cross-platform heuristic hardware,Automotive,438.80,186.87,202,92
19,Robust empowering workforce,Sports,232.13,94.23,381,81
20,Balanced upward-trending knowledgebase,Toys,271.79,162.75,459,84
21,Public-key bottom-line implementation,Home,202.70,78.59,260,73
22,Configurable neutral frame,Clothing,50.00,15.94,78,90
23,Self-enabling regional hierarchy,Clothing,84.19,48.17,197,58
24,Re-engineered content-based strategy,Books,299.96,146.15,497,80
25,Cloned 6thgeneration protocol,Clothing,431.09,131.31,349,78
26,Focused zero administration frame,Beauty,376.68,228.81,57,47
27,Configurable discrete attitude,Books,220.21,106.03,497,74
28,Multi-tiered even-keeled knowledgebase,Clothing,382.17,192.26,445,90
29,Sharable high-level complexity,Sports,152.73,84.85,78,57
30,Multi-layered heuristic database,Electronics,382.44,197.24,306,51
31,Synchronized encompassing standardization,Beauty,246.86,85.10,449,49
32,Synergized secondary archive,Clothing,123.53,48.96,43,72
33,Robust scalable concept,Home,408.93,282.65,65,94
34,Public-key upward-trending encryption,Books,240.26,124.92,270,87
35,Diverse maximized implementation,Sports,214.45,82.50,365,49
36,Future-proofed scalable solution,Beauty,202.50,115.16,224,76
37,Realigned directional software,Clothing,228.49,91.20,173,12
38,Inverse zero administration time-frame,Sports,296.21,116.13,3,19
39,Centralized discrete alliance,Clothing,355.38,114.98,463,14
40,Intuitive impactful flexibility,Sports,430.52,141.36,142,95
41,Cloned didactic open system,Automotive,245.28,126.49,124,70
42,Universal foreground data-warehouse,Clothing,404.71,152.24,337,65
43,Streamlined modular infrastructure,Electronics,180.38,83.78,344,93
44,Stand-alone logistical circuit,Toys,492.16,167.02,372,53
45,Fundamental client-driven encryption,Sports,401.29,137.93,97,78
46,User-friendly next generation monitoring,Books,227.06,106.43,236,41
47,Fundamental value-added paradigm,Clothing,437.87,144.56,25,93
48,Optimized optimal initiative,Clothing,499.64,316.98,474,40
49,Multi-lateral directional challenge,Sports,87.32,43.16,442,61
50,Profound modular array,Electronics,451.71,165.26,199,43
51,Versatile actuating budgetary management,Books,463.63,284.69,216,99
52,Distributed responsive complexity,Automotive,478.87,334.33,79,34
53,Synergized interactive policy,Electronics,151.87,104.41,382,50
54,Cloned human-resource implementation,Home,33.30,17.77,29,75
55,Right-sized maximized moderator,Clothing,44.66,16.72,345,40
56,Function-based neutral access,Sports,204.87,138.62,296,86
57,Synergized uniform budgetary management,Beauty,24.67,8.21,478,43
58,Synergized national system engine,Sports,106.11,62.23,135,60
59,Future-proofed zero administration project,Automotive,69.78,38.95,161,19
60,Mandatory bifurcated frame,Clothing,9.61,5.27,37,78
61,Optional cohesive knowledgebase,Beauty,110.51,44.88,451,18
62,Adaptive uniform success,Home,440.24,197.14,224,79
63,Fundamental motivating task-force,Electronics,353.25,192.41,341,80
64,Enhanced motivating benchmark,Home,153.19,86.61,135,24
65,Self-enabling exuding productivity,Home,445.41,265.89,139,46
66,Profit-focused real-time customer loyalty,Sports,304.39,178.69,351,91
67,Distributed holistic task-force,Books,427.19,214.52,463,16
68,Diverse needs-based time-frame,Books,50.69,23.80,22,10
69,Progressive 24hour policy,Books,170.11,59.93,82,66
70,Inverse mobile adapter,Electronics,278.08,131.00,57,19
71,Customizable high-level workforce,Home,472.80,272.53,279,14
72,Integrated disintermediate approach,Home,418.12,222.86,220,26
73,Front-line non-volatile artificial intelligence,Electronics,25.71,11.46,460,55
74,Configurable upward-trending matrix,Clothing,108.99,43.58,181,81
75,Cloned well-modulated monitoring,Home,442.65,204.75,473,40
76,Visionary clear-thinking capacity,Home,432.98,298.97,451,62
77,Switchable methodical neural-net,Beauty,17.27,10.27,400,62
78,Down-sized empowering moderator,Sports,402.11,259.61,136,30
79,Robust interactive data-warehouse,Electronics,394.75,135.49,439,70
80,Quality-focused web-enabled superstructure,Automotive,115.10,72.13,179,49
81,Team-oriented dedicated structure,Sports,411.17,266.66,12,94
82,Integrated impactful secured line,Clothing,100.60,43.39,495,45
83,Streamlined holistic intranet,Beauty,178.82,90.08,480,13
84,Programmable local capability,Home,62.09,42.73,297,43
85,Fully-configurable directional architecture,Beauty,23.94,12.89,373,50
86,Mandatory 3rdgeneration parallelism,Clothing,221.01,153.31,197,83
87,Reactive discrete parallelism,Toys,99.09,31.49,0,76
